Name,Tags,Parent,Child,link
A. Team,"doubt, doubt cleared",Main%20CP%20Database%2026278a5f5a474e17b83a4967a89acdb4/Input%20Output%20Problems%2049e9bb9b4d3e48e38e3574a7a6aa1b7c.md,,https://codeforces.com/problemset/problem/231/A
Input Output Problems,,,Main%20CP%20Database%2026278a5f5a474e17b83a4967a89acdb4/A%20Team%202ec4892326924da38681dfe2d2b75fe5.md,
Simple Table Link Filter,,,,
